DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Chile,CHL,Americas,Latin America and the Caribbean,2016,,,14.6000003815,2.07999992371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3636398315,,,,,,,,,,,,,,,,,,,,,,,,69.55000305175781
Chile,CHL,Americas,Latin America and the Caribbean,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,21.0,,,,,,,,,,,,,,,,,,69.8499984741211
Chile,CHL,Americas,Latin America and the Caribbean,2019,,,,,,,,,,,,,,,,,,,10.2283000946,,,36.0999984741,,8.69999980927,,,,,,6.74571990967,17.8899593353,,,,,,,,,,,,22.1551094055,,,2.29999995232,,,,,,,,,,,70.0
Chile,CHL,Americas,Latin America and the Caribbean,2020,,,,,,,,,,,,,7.9900001883659995,,,99.8000030518,15.0307397842,,,,,,,,,,,,,,,,,0.029999999329,,,,,,,,,,,,,,,,,,,,,,,70.1500015258789
Chile,CHL,Americas,Latin America and the Caribbean,2021,,,,,15.5200004578,,,,,,,,,,,,,,,,,,,,,,,,10.3000001907,,,,,,,,,,,,,,,0.41591334343,7.63537836075,,,82.2782211304,,3.77006077766,,,,,,,70.30000305175781
Chile,CHL,Americas,Latin America and the Caribbean,2022,,,,,,,31.7000007629,49.6800003052,15.7849998474,6.66699981689,,53.0,,6.29033899307,17.0,,,28.7000007629,,38.9146118164,27.4677600861,,8.80000019073,,,1.60000002384,93.0,100.0,,,,,,,0.25,69.0,,,,2.0,,,,,,,,,,,4.08348083496,96.0,89.1007232666,,95.3228225708,98.7713623047,70.44999694824219
Chile,CHL,Americas,Latin America and the Caribbean,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1333007813,,,,,,,,,,,,0.0,,,,,,,,70.5999984741211
China,CHN,Asia,Eastern Asia,2016,,,,,,,,,,,,,,,,99.9000015259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.125
China,CHN,Asia,Eastern Asia,2017,,,,,,,,,4.51700019836,3.21199989319,,,,,,,,,,,,,,,1.89999997616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.25
China,CHN,Asia,Eastern Asia,2018,,,24.3299999237,6.94000005722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19.0,,,,,,,,,,,,,,,,,,68.375
